Loss,Acc
0.028539182659156784,0.656686626746507
0.0236330215564507,0.8163672654690619
0.022360626451983424,0.5968063872255489
0.02063437011427508,0.7544910179640718
0.018852143230552443,0.8183632734530938
0.01885299244802631,0.8343313373253493
0.018636797478574954,0.8223552894211577
0.017645285931413998,0.810379241516966
0.016766118699918963,0.8303393213572854
0.016751876729215215,0.8203592814371258
0.016066313384773726,0.8502994011976048
0.0157828201909741,0.8562874251497006
0.015356534285221747,0.8822355289421158
0.01602845631554693,0.8962075848303394
0.01682154548739245,0.8962075848303394
0.016924235456717944,0.9281437125748503
0.017759940670635885,0.8802395209580839
