Loss,Acc
0.03644785612167237,0.2934131736526946
0.016683228492379902,0.812375249500998
0.01933980707874793,0.872255489021956
0.022034667194365504,0.8702594810379242
0.025464477898653397,0.8822355289421158
0.024773200010944033,0.8962075848303394
0.029928372693275977,0.9341317365269461
0.03151464918461032,0.9341317365269461
0.028926842762324625,0.9341317365269461
0.03193441046004048,0.9281437125748503
0.037650277685678885,0.9281437125748503
0.033099406924909223,0.9321357285429142
0.046474901602386,0.9181636726546906
0.035326994308633,0.936127744510978
0.03237905667745276,0.906187624750499
0.038103781796679524,0.9341317365269461
0.04283553038439351,0.9301397205588823
0.04361724495858014,0.9321357285429142
0.03637550997467871,0.9221556886227545
0.040430977881073714,0.9341317365269461
0.043563173418332955,0.9261477045908184
0.04235485590206173,0.9261477045908184
0.03317064470695164,0.9341317365269461
0.03736126019123072,0.936127744510978
0.038874292073254574,0.936127744510978
0.04030603222444862,0.936127744510978
0.04177552370164923,0.9301397205588823
