Loss,Acc
0.03659799056712592,0.2920619071392911
0.029361642424725796,0.8262606090863704
0.018233888598900107,0.871193210184723
0.009948956435597425,0.9051422865701447
0.004877936288424272,0.9321018472291562
0.004491038085996019,0.9615576635047429
0.002971992834577643,0.9695456814777833
0.0009749916931110957,0.9890164752870694
0.002597271552120154,0.981028457314029
0.0012206108474623202,0.982526210683974
0.0006422599699058539,0.9915127309036446
0.001049397563021509,0.9895157264103844
0.0013755696467541085,0.9835247129306041
0.0022027138123103694,0.9745381927109336
0.001157810728928933,0.9880179730404394
0.0009600914661894369,0.9920119820269596
0.0005419922912918441,0.9900149775336995
0.0004593543720665953,0.9960059910134798
0.00044139313030810507,0.9955067398901648
0.0006098564207706052,0.9960059910134798
0.000491300795300274,0.9965052421367948
0.000925030472853519,0.9985022466300549
0.0012901711972029084,0.9870194707938093
0.0002728308142223072,0.9975037443834248
0.0009212383501499838,0.9930104842735896
0.0004120481400615956,0.9965052421367948
0.00048287741408025114,0.9975037443834248
