Loss,Acc
0.028461166042360257,0.670993509735397
0.032789325779578236,0.6929605591612581
0.025952381234852242,0.6744882675986021
0.023539486284917793,0.7154268597104343
0.022008061319723524,0.7978032950574139
0.020845940945687678,0.7958062905641538
0.02092216383708577,0.8102845731402896
0.024055179035550527,0.8257613579630554
0.017448073140514296,0.8427358961557664
0.023428605628561153,0.8487269096355466
0.01866753481949679,0.8507239141288068
0.01644916833934936,0.854717923115327
0.015906713601653716,0.8786819770344483
0.01325633078144005,0.9166250624063904
0.01147126172089422,0.9211183225162256
0.011841364305315766,0.9375936095856215
0.01140985975652948,0.9380928607089366
