Loss,Acc
0.08632429662015041,0.030454318522216674
0.027254701758020233,0.7988017973040439
0.015466401555272739,0.8657014478282576
0.011258232198503098,0.8811782326510235
0.009972488979101777,0.9016475287069395
0.006289802189438389,0.9156265601597604
0.00536909325748563,0.9400898652021967
0.006036253380521767,0.9321018472291562
0.006122996901355858,0.926110833749376
0.003950284369925946,0.946580129805292
0.005056052135802988,0.9475786320519222
0.0036143481220419532,0.9530703944083874
0.004107693375771306,0.9545681477783325
0.003784733329245405,0.9500748876684972
0.004130448083008751,0.9615576635047429
0.0035795512970925657,0.964553170244633
0.0032120206055272775,0.9575636545182227
0.0028803980986239447,0.9665501747378932
0.0030555812027296065,0.9665501747378932
0.0020941113574217394,0.9735396904643036
0.0021418873836178028,0.9725411882176734
0.0026119973192759104,0.9745381927109336
0.0038084571360328195,0.963554667998003
0.002090237317925307,0.9735396904643036
0.001761563657794596,0.982526210683974
0.0016499498021066807,0.9875187219171243
0.002345193877290326,0.9745381927109336
0.001598106091702566,0.9755366949575637
0.003289073338271867,0.964053919121318
0.0013433791872055126,0.9835247129306041
0.001592659983565195,0.982026959560659
0.004831692665762812,0.9670494258612082
0.0038984414912113727,0.963554667998003
0.0022147152544042497,0.9775336994508238
0.0018177921767520923,0.982526210683974
0.001915647123272601,0.9775336994508238
0.0038976148871102344,0.9700449326010984
0.004387935820714832,0.9725411882176734
0.005200793955956794,0.963554667998003
