Loss,Acc
0.048351521692571196,0.8856714927608587
0.02675511309699422,0.8332501248127808
0.024030210358228794,0.8716924613080379
0.016796311325450806,0.8627059410883674
0.014104315679087022,0.889166250624064
0.012683072825312555,0.8951572641038442
0.01125039620379835,0.8946580129805292
0.012535750017842233,0.908137793310035
0.011610945901511256,0.9076385421867199
0.009494059343919477,0.9116325511732402
0.008359635259939383,0.9196205691462805
0.00819122810260808,0.9026460309535697
0.011361107690500666,0.9141288067898152
0.012683831361744086,0.90863704443335
0.009402112550828913,0.9131303045431852
0.007953938751430792,0.9191213180229656
0.009645835085457197,0.90963554667998
0.006718675028932613,0.9345981028457314
0.006481279383301437,0.9420868696954569
0.006565767787889769,0.9400898652021967
0.005412427025009737,0.9435846230654019
0.0050904451731333894,0.9475786320519222
0.007655215124621489,0.927608587119321
0.005034575588476699,0.9470793809286071
0.004632263509459009,0.945581627558662
0.0027185823399660976,0.963055416874688
